surv,num,modeid,modechos,choiflag,frstpref,rankpref,freq,excpt,timev,timew,apd,op,opb,opw,opc,f1gensvc,f2convac,f3psych,bwlk,stop,trpurpos,age,sex,drivlic,married,famsize,ncars,educ,lres,work,income,ptevop,congevop,freq1,freq2,freqk,busseat,bstdt,cost,nmisop
553,396,2,0,1,0,1,0,0.319,0,-9,0,-0.392,0,-0.392,0,-1.2384,0.9169,0.7624,0,2,5,5,2,1,2,3,3,4,5,1,5,3,1,0,0,0,0,0,1,0
553,396,3,0,1,1,3,6,0.63,22,0,1,0.7787,0,0,0.7787,1.1334,-0.4783,-0.2444,0,2,5,5,2,1,2,3,3,4,5,1,5,3,1,0,0,0,0,0,-1.2,0
556,397,1,0,1,0,2,0,-0.3,-9,0,0,-0.2127,-0.2127,0,0,-0.6553,-1.4485,-0.8625,1.5,2,1,2,2,1,1,2,2,7,2,4,2,3,3,0,0,0,-9,1,0.5,0
556,397,2,0,1,0,1,1,0.152,0,-9,0,0.4361,0,0.4361,0,-0.7578,0.2324,-0.7648,0,2,1,2,2,1,1,2,2,7,2,4,2,3,3,0,0,0,0,0,1,0
556,397,3,1,1,1,3,28,0.735,10,0,1,-2.3195,0,0,-2.3195,0.9688,0.2538,-0.7683,0,2,1,2,2,1,1,2,2,7,2,4,2,3,3,0,0,0,0,0,-0.6,0
558,398,1,0,1,0,1,0,0.459,20,0,0,0.9537,0.9537,0,0,0.5829,-0.9286,0.6755,-9,1,1,2,1,1,2,1,0,4,2,4,4,2,4,0,0,0,10,1,1.1,0
558,398,2,1,1,0,2,11,0.762,0,20,0,1.1464,0,1.1464,0,0.2753,0.7002,0.7244,0,1,1,2,1,1,2,1,0,4,2,4,4,2,4,0,0,0,0,0,1.1,0
558,398,3,0,1,1,3,7,0.628,15,0,0,-0.1512,0,0,-0.1512,1.2505,-1.0255,0.694,0,1,1,2,1,1,2,1,0,4,2,4,4,2,4,0,0,0,0,0,1.1,0
559,399,1,0,1,0,1,1,-0.916,20,0,0,-1.7544,-1.7544,0,0,-1.1405,-2.2306,-2.5909,3,1,1,2,2,1,2,0,0,5,2,4,5,3,2,0,1,1,6,1,-0.2,0
559,399,2,1,1,0,2,21,0.407,0,20,0,-0.2368,0,-0.2368,0,-0.3043,1.1411,-1.182,0,1,1,2,2,1,2,0,0,5,2,4,5,3,2,0,0,0,0,0,1.7,0
559,399,3,0,1,1,3,5,0.124,5,0,0,-0.9376,0,0,-0.9376,0.496,-1.519,-0.0373,0,1,1,2,2,1,2,0,0,5,2,4,5,3,2,0,0,0,0,0,-0.2,0
560,400,1,0,1,0,1,0,0.111,15,0,0,1.1822,1.1822,0,0,0.0088,-1.2862,0.4591,-9,2,4,1,1,1,2,1,0,4,2,4,1,3,4,0,0,0,8,3,0.5,0
560,400,2,0,1,0,2,6,0.918,0,20,0,1.0619,0,1.0619,0,0.3293,0.9697,1.2442,0,2,4,1,1,1,2,1,0,4,2,4,1,3,4,0,0,0,0,0,1.6,0
560,400,3,1,1,1,3,18,0.938,7,0,0,1.189,0,0,1.189,1.2069,0.7283,0.3529,0,2,4,1,1,1,2,1,0,4,2,4,1,3,4,0,0,0,0,0,-0.6,0
561,401,1,0,1,0,2,0,0.189,30,0,0,1.2302,1.2302,0,0,-0.1002,-0.9499,1.0149,1.5,2,4,3,1,1,1,3,1,7,2,1,5,2,2,1,1,2,9,1,1.4,0
561,401,2,0,1,0,1,0,0.303,0,60,0,0.0376,0,0.0376,0,-1.0782,0.7927,0.677,0,2,4,3,1,1,1,3,1,7,2,1,5,2,2,0,0,0,0,0,1.4,0
561,401,3,1,1,1,3,4,0.751,10,0,0.5,0.8683,0,0,0.8683,1.0356,0.4197,0.0164,0,2,4,3,1,1,1,3,1,7,2,1,5,2,2,0,0,0,0,0,-1.7,0
562,402,1,0,1,0,1,0,-0.032,10,0,0,-0.9564,-0.9564,0,0,-0.0895,-1.0511,-0.7884,0.5,2,6,2,2,1,1,2,2,5,2,1,5,4,1,0,0,0,9,2,0.5,1
562,402,2,0,1,0,2,3,0.359,0,25,0,0.317,0,0.317,0,-0.4806,-0.0303,0.7761,0,2,6,2,2,1,1,2,2,5,2,1,5,4,1,0,0,0,0,0,1.1,1
562,402,3,1,1,1,3,40,0.299,9,0,1,0.7385,0,0,0.7385,-0.0596,0.032,-0.1818,0,2,6,2,2,1,1,2,2,5,2,1,5,4,1,0,0,0,0,0,-1,1
563,403,1,0,1,1,3,3,0.345,25,0,0,1.7397,1.7397,0,0,0.4124,-0.4442,0.2626,1.5,2,1,2,2,2,2,1,1,6,4,5,4,3,2,1,0,1,10,1,0.1,0
563,403,2,0,1,0,2,0,0.543,0,40,0,0.4423,0,0.4423,0,-0.3209,0.422,1.2092,0,2,1,2,2,2,2,1,1,6,4,5,4,3,2,0,0,0,0,0,1,0
563,403,3,1,1,0,1,5,0.547,20,0,1,0.3428,0,0,0.3428,0.7714,-0.8412,0.024,0,2,1,2,2,2,2,1,1,6,4,5,4,3,2,0,0,0,0,0,0.1,0
564,404,1,0,1,0,1,1,-0.015,15,0,0,-1.1711,-1.1711,0,0,-0.1652,-1.608,0.3351,0.5,1,1,6,1,1,1,5,3,7,5,1,5,3,3,0,0,0,10,1,0.8,0
564,404,2,0,1,0,2,9,0.266,0,15,0,0.4088,0,0.4088,0,-0.5007,-0.103,0.3283,0,1,1,6,1,1,1,5,3,7,5,1,5,3,3,0,0,0,0,0,0.8,0
564,404,3,1,1,1,3,46,0.919,2,0,0.8,0.3046,0,0,0.3046,1.2906,0.8099,-0.4355,0,1,1,6,1,1,1,5,3,7,5,1,5,3,3,0,0,0,0,0,-0.6,0
566,405,1,0,1,0,2,0,0.278,20,0,0,999,999,0,0,-0.3673,-0.4811,0.7999,6,2,1,6,1,1,1,2,1,7,5,1,5,3,4,0,0,0,10,1,0.9,12
566,405,2,0,1,0,1,0,0.178,0,30,0,999,0,999,0,-1.1833,0.2206,0.9761,0,2,1,6,1,1,1,2,1,7,5,1,5,3,4,0,0,0,0,0,0.9,12
566,405,3,1,1,1,3,12,0.992,10,0,0.5,999,0,0,999,1.3192,0.3769,0.6821,0,2,1,6,1,1,1,2,1,7,5,1,5,3,4,0,0,0,0,0,-0.2,12
568,406,1,1,1,1,3,3,0.595,15,0,0,1.7955,1.7955,0,0,0.228,0.6178,0.567,0.5,2,6,5,1,2,2,1,0,7,5,1,4,3,2,1,1,2,7,1,1.5,0
568,406,2,0,1,0,1,3,0.064,0,30,0,0.5072,0,0.5072,0,-0.9176,0.3532,-0.1084,0,2,6,5,1,2,2,1,0,7,5,1,4,3,2,0,0,0,0,0,1.5,0
568,406,3,0,1,0,2,1,0.26,10,0,0,-1.1861,0,0,-1.1861,0.9422,-1.3257,-0.699,0,2,6,5,1,2,2,1,0,7,5,1,4,3,2,0,0,0,0,0,-0.9,0
569,407,1,0,1,0,1,0,0.091,-9,0,0,-0.5361,-0.5361,0,0,0.0595,-1.2577,0.0637,0.5,2,1,4,1,1,1,5,2,5,4,1,5,3,2,1,1,2,10,1,0.5,0
569,407,2,0,1,0,2,3,0.566,0,10,0,0.3158,0,0.3158,0,0.3357,0.4552,-0.1272,0,2,1,4,1,1,1,5,2,5,4,1,5,3,2,0,0,0,0,0,1,0
